n,t1,t2,t3,avg (s),mem (bytes)
1,"0,002","0,002","0,002","0,0020",5132
2,"0,002","0,002","0,002","0,0020",5152
3,"0,002","0,002","0,002","0,0020",5188
4,"0,002","0,002","0,002","0,0020",5248
5,"0,002","0,003","0,002","0,0023",5348
6,"0,002","0,002","0,002","0,0020",5520
7,"0,002","0,002","0,002","0,0020",5828
8,"0,002","0,002","0,001","0,0017",6400
9,"0,003","0,002","0,003","0,0027",7492
10,"0,001","0,003","0,003","0,0023",9616
11,"0,004","0,004","0,004","0,0040",13796
12,"0,005","0,003","0,006","0,0047",22080
13,"0,01","0,006","0,007","0,0077",38564
14,"0,015","0,016","0,015","0,0153",71440
15,"0,018","0,018","0,019","0,0183",137092
16,"0,031","0,032","0,033","0,0320",268288
17,"0,062","0,061","0,062","0,0617",530564
18,"0,123","0,124","0,126","0,1243",1054992
19,"0,261","0,269","0,287","0,2723",2103716
20,"0,729","0,721","0,712","0,7207",4201024
21,"1,772","1,813","1,75","1,7783",8395492
22,"4,014","3,956","3,999","3,9897",16784272
23,"8,978","8,925","9,022","8,9750",33561668
24,"18,612","18,806","19,857","19,0917",67116288
25,"41,552","40,269","41,13","40,9837",134225348
